Наименование,Дата поставки,Дата заказа,Срок поставки,Плановый срок поставки,Регион,Объем заказа,"Цена, руб",Условия платежа,НРП - нерегламентная потребность (внеплановая закупка),Поставщик
Ось напорная 3546.03.04.021 ,2020-03-30 00:00:00,2019-12-27 00:00:00,94,90,Республика Карелия,1,"700636,9427",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Вал промежуточный 3536.22.01.050СБ,2020-04-20 00:00:00,2019-12-31 00:00:00,111,220,Мурманская область,1,"1066878,981",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Вал промежуточный 3536.22.01.050СБ,2020-04-20 00:00:00,2019-12-31 00:00:00,111,220,Мурманская область,1,"1066878,981",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Зуб 1085.52.05-1,2020-03-02 00:00:00,2020-01-09 00:00:00,53,75,Вологодская область,10,"9388,535032",,1,3989
Полукольцо 3711.25.00.002 ,2020-01-20 00:00:00,2020-01-13 00:00:00,7,180,Республика Карелия,4,"3923,566879",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Ось 11075.28.14-2 ,2020-01-20 00:00:00,2020-01-13 00:00:00,7,120,Республика Карелия,1,"354214,0127",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Днище 3537.01.02.001 ,2020-12-30 00:00:00,2020-01-15 00:00:00,350,180,Мурманская область,1,"458598,7261",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Стенка 3554.01.01.001-01,2020-09-30 00:00:00,2020-01-15 00:00:00,259,330,Мурманская область,1,"1337579,618",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
П/цил.3519.09.02.400-01,2020-08-02 00:00:00,2020-01-15 00:00:00,200,230,Мурманская область,1,"19426,75159",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Полублок 3519.49.00.001,2020-04-20 00:00:00,2020-01-15 00:00:00,96,210,Мурманская область,4,"103184,7134",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Пружина 3537.11.02.001,2020-04-20 00:00:00,2020-01-15 00:00:00,96,120,Мурманская область,6,"2866,242038",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Ось 3519.21.00.025,2020-03-30 00:00:00,2020-01-15 00:00:00,75,180,Мурманская область,6,"9299,363057",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Вал 3536.10.01.201,2020-03-30 00:00:00,2020-01-15 00:00:00,75,65,Мурманская область,1,"210191,0828",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
Кулак 3537.69.02.507-01 ,2020-03-24 00:00:00,2020-01-15 00:00:00,69,90,Мурманская область,18,"46496,81529",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Муфта 3536.58.00.140,2020-03-20 00:00:00,2020-01-15 00:00:00,65,350,Мурманская область,4,"21019,10828",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Стенка передн. 3537.01.01.020 ,2020-03-01 00:00:00,2020-01-15 00:00:00,46,300,Мурманская область,1,"987261,1465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,1,3927
Стенка 3548.33.01.001,2020-03-01 00:00:00,2020-01-15 00:00:00,46,220,Мурманская область,1,"535031,8471",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,3927
Колодка 3536.09.06.060,2020-02-05 00:00:00,2020-01-15 00:00:00,21,45,Мурманская область,4,"11783,43949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Вант стрелы 00.1606.49.1 ,2020-05-10 00:00:00,2020-01-17 00:00:00,114,70,Республика Карелия,2,"403187,8981",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,2691
Полублок 3536.38.00.001,2020-04-30 00:00:00,2020-01-17 00:00:00,104,270,Мурманская область,4,"185987,2611",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Палец 01.3712-УР20КМ,2020-03-10 00:00:00,2020-01-17 00:00:00,53,45,Республика Карелия,50,"2675,159236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Палец 00.3712-УР20КМ,2020-03-10 00:00:00,2020-01-17 00:00:00,53,45,Республика Карелия,50,"3407,643312",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Блок управления Э.НЛ.0024,2020-10-12 00:00:00,2020-01-22 00:00:00,264,90,Вологодская область,1,"202515,9236",,,3989
Болт 3537.03.01.009-01 ,2020-02-20 00:00:00,2020-01-24 00:00:00,27,180,Республика Карелия,16,"6210,191083",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Палец 01.3712-УР20КМ,2020-03-10 00:00:00,2020-01-27 00:00:00,43,45,Республика Карелия,1,"2675,159236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Тормоз 3536.10.06.000,2020-03-25 00:00:00,2020-01-29 00:00:00,56,210,Мурманская область,3,"128025,4777",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Колесо 3519.05.02.006,2020-07-20 00:00:00,2020-01-30 00:00:00,172,220,Мурманская область,2,"372611,465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Шестерня 11075.05.322,2020-06-01 00:00:00,2020-01-30 00:00:00,123,180,Республика Карелия,2,"171464,9682",,,3989
"Стекло 1173х783х8,38 АВМЮ.755471.035",2020-05-20 00:00:00,2020-01-30 00:00:00,111,90,Республика Карелия,1,"27003,18471",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Зуб 1085.52.05-1,2020-04-02 00:00:00,2020-01-31 00:00:00,62,75,Вологодская область,10,"9388,535032",,1,3989
Ковш экскаваторный 38.3537.31.00.000 СБ,2020-03-02 00:00:00,2020-02-03 00:00:00,28,70,Мурманская область,1,"3007259,236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,3927
Колесо 1080.33.58,2020-07-05 00:00:00,2020-02-07 00:00:00,149,110,Вологодская область,2,"53949,04459",,,3989
Рейка 1080.04.114-1,2020-07-05 00:00:00,2020-02-07 00:00:00,149,120,Вологодская область,2,"114649,6815",,,3989
Колесо 3519.05.02.200,2020-04-15 00:00:00,2020-02-07 00:00:00,68,205,Мурманская область,1,"178343,949",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Рейка 1080.04.114-1,2020-03-30 00:00:00,2020-02-07 00:00:00,52,120,Вологодская область,2,"114649,6815",,,3989
Шестерня 1085.75.350СБ,2020-02-28 00:00:00,2020-02-07 00:00:00,21,150,Вологодская область,2,"52687,89809",,,3989
Вал ведущий 3550.05.02.046-02 ,2020-02-11 00:00:00,2020-02-10 00:00:00,1,85,Республика Карелия,1,"641297,4522",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Полублок задний 3537.02.00.001 ,2020-08-10 00:00:00,2020-02-14 00:00:00,178,215,Мурманская область,1,"256560,5096",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3915
Полублок 3537.02.02.050 ,2020-08-10 00:00:00,2020-02-14 00:00:00,178,210,Мурманская область,1,"121019,1083",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3915
Колесо 3519.05.02.006,2020-07-20 00:00:00,2020-02-28 00:00:00,143,220,Мурманская область,1,"372611,465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Командоконтроллер ЭК-8203А,2020-04-20 00:00:00,2020-02-28 00:00:00,52,55,Вологодская область,1,"6410,191083",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3987
Сателлит 3536.11.01.004,2020-06-20 00:00:00,2020-03-02 00:00:00,110,200,Мурманская область,2,"19426,75159",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Гидроцилиндр 1080.30.100,2020-06-05 00:00:00,2020-03-02 00:00:00,95,120,Вологодская область,4,"5611,464968",,1,3989
Токоприемник ТКЭ 0-5 УХЛ1,2020-05-10 00:00:00,2020-03-02 00:00:00,69,65,Республика Карелия,2,"95541,40127",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3685
Цепь 1080.02.105-1СБ,2020-04-20 00:00:00,2020-03-02 00:00:00,49,90,Вологодская область,4,"1356,687898",,,3989
Полухомут,2020-04-15 00:00:00,2020-03-02 00:00:00,44,200,Мурманская область,1,"7611,464968",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Лента тормозная 1080.20.620СБ ,2020-03-30 00:00:00,2020-03-02 00:00:00,28,45,Вологодская область,6,"9821,656051",,,3989
Засов 1080.02.107-1СБ ,2020-03-30 00:00:00,2020-03-02 00:00:00,28,45,Вологодская область,2,"5611,464968",,,3989
Вал промежуточный 3536.22.01.050СБ,2020-03-20 00:00:00,2020-03-02 00:00:00,18,220,Мурманская область,1,"1066878,981",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Звено гусеничное 11078.34.001-1СБ ,2020-04-01 00:00:00,2020-03-03 00:00:00,29,160,Республика Карелия,5,"122292,9936",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Втулка 3546.03.01.008 ,2020-09-20 00:00:00,2020-03-06 00:00:00,198,220,Республика Карелия,2,"45796,17834",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Вал 3536.08.01.001,2020-09-10 00:00:00,2020-03-06 00:00:00,188,270,Республика Карелия,1,"81528,66242",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Вал ведущий 3550.05.02.046-02 ,2020-07-15 00:00:00,2020-03-06 00:00:00,131,85,Республика Карелия,1,"372611,465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Лестница 3550.17.03.200-01 ,2020-04-30 00:00:00,2020-03-06 00:00:00,55,45,Республика Карелия,1,"20891,71975",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Болт М42х150.58 ,2020-04-05 00:00:00,2020-03-06 00:00:00,30,30,Вологодская область,20,"605,0955414",,,3989
Аппарат погл. ПМКП-110 587100008 ,2020-10-02 00:00:00,2020-03-13 00:00:00,203,220,Республика Карелия,3,"20382,80255",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3724
Вант стрелы 00.1606.46.1 ,2020-06-10 00:00:00,2020-03-13 00:00:00,89,90,Республика Карелия,6,"211515,9236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,2691
Колесо 3536.08.01.300,2020-03-25 00:00:00,2020-03-13 00:00:00,12,240,Республика Карелия,1,"200636,9427",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Колесо 1080.33.58,2020-07-05 00:00:00,2020-03-16 00:00:00,111,110,Вологодская область,2,"53949,04459",,,3989
Ползун 1085.75.307 ,2020-06-15 00:00:00,2020-03-16 00:00:00,91,90,Вологодская область,4,"8566,878981",,,3989
Коромысло 3519.21.00.023,2020-05-30 00:00:00,2020-03-16 00:00:00,75,220,Мурманская область,3,"185900,4586",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,2569
Колесо 1080.33.09СБ,2020-04-30 00:00:00,2020-03-16 00:00:00,45,130,Вологодская область,2,"62121,01911",,1,3989
Колесо 3536.08.01.300,2020-03-30 00:00:00,2020-03-16 00:00:00,14,240,Республика Карелия,1,"289162,3567",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,1638
Рейка 1080.04.114-1,2020-03-30 00:00:00,2020-03-16 00:00:00,14,120,Вологодская область,2,"114649,6815",,,3989
Пневмоцилиндр 3537.09.09.200СБ ,2020-03-30 00:00:00,2020-03-18 00:00:00,12,30,Республика Карелия,2,"44267,51592",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Палец 1080.02.22,2020-07-20 00:00:00,2020-03-19 00:00:00,123,130,Вологодская область,4,"4535,031847",,,3989
Зуб 1085.52.05-1,2020-05-20 00:00:00,2020-03-19 00:00:00,62,75,Вологодская область,10,"9388,535032",,,3989
Зуб 1085.52.05-1,2020-05-20 00:00:00,2020-03-19 00:00:00,62,75,Вологодская область,15,"9388,535032",,,3989
Ось 11075.28.40-1,2020-05-15 00:00:00,2020-03-20 00:00:00,56,55,Республика Карелия,4,"124840,7643",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Кулак 11077.28.143 ,2020-04-01 00:00:00,2020-03-20 00:00:00,12,30,Республика Карелия,18,"30611,46497",,,3989
Шестерня 1080.55.306,2020-07-15 00:00:00,2020-03-23 00:00:00,114,150,Вологодская область,2,"14636,94268",,,3989
Колесо 3536.10.01.250,2020-06-12 00:00:00,2020-03-23 00:00:00,81,60,Мурманская область,1,"442675,1592",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Ковш экскаваторный 38.3537.31.00.000 СБ,2020-05-13 00:00:00,2020-03-23 00:00:00,51,70,Мурманская область,1,"3007259,236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,3927
Блок 1080.10.45 ,2020-04-25 00:00:00,2020-03-23 00:00:00,33,30,Вологодская область,2,"11464,96815",,,3989
Хомут,2020-04-30 00:00:00,2020-03-24 00:00:00,37,220,Мурманская область,20,"6878,980892",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Зуб 1085.52.05-1,2020-05-20 00:00:00,2020-03-25 00:00:00,56,75,Вологодская область,10,"9388,535032",,,3989
Ковш 1085.52.00-2СБ,2020-10-02 00:00:00,2020-03-27 00:00:00,189,30,Вологодская область,1,"1051171,975",,,3989
Втулка 1080.33.81,2020-08-15 00:00:00,2020-03-27 00:00:00,141,140,Вологодская область,2,"9318,471338",,,3989
Втулка 1080.33.81,2020-08-15 00:00:00,2020-03-27 00:00:00,141,140,Вологодская область,4,"9318,471338",,,3989
Колесо 1080.33.10,2020-08-15 00:00:00,2020-03-27 00:00:00,141,60,Вологодская область,4,"51337,57962",,,3989
Втулка 1080.33.18-1,2020-08-15 00:00:00,2020-03-27 00:00:00,141,90,Вологодская область,4,"6050,955414",,,3989
Колесо 1080.33.58,2020-07-15 00:00:00,2020-03-27 00:00:00,110,110,Вологодская область,2,"53949,04459",,,3989
Ось 1080.33.17,2020-07-15 00:00:00,2020-03-27 00:00:00,110,130,Вологодская область,2,"270063,6943",,,3989
Колесо 1080.33.10,2020-07-15 00:00:00,2020-03-27 00:00:00,110,60,Вологодская область,2,"51337,57962",,,3989
Втулка 1080.33.18-1,2020-07-15 00:00:00,2020-03-27 00:00:00,110,90,Вологодская область,2,"6050,955414",,,3989
Зуб 1085.52.05-1,2020-06-10 00:00:00,2020-03-27 00:00:00,75,75,Вологодская область,10,"9388,535032",,,3989
Рама лобовая АВМЮ.301222.054 ,2020-04-01 00:00:00,2020-03-27 00:00:00,5,50,Республика Карелия,1,"91601,91083",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Редук.3588.35.06.000,2020-10-10 00:00:00,2020-03-30 00:00:00,194,220,Республика Карелия,1,"122292,9936",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Звездочка 3588.35.01.004 ,2020-08-20 00:00:00,2020-03-30 00:00:00,143,145,Республика Карелия,2,"4371,974522",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
П/цил.3551.17.00.300-02,2020-08-15 00:00:00,2020-03-30 00:00:00,138,150,Республика Карелия,3,"45541,40127",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Пневмоцилиндр 3537.09.09.200-01,2020-07-20 00:00:00,2020-03-30 00:00:00,112,120,Республика Карелия,2,"33670,70064",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Вал 3536.11.01.002,2020-06-12 00:00:00,2020-03-30 00:00:00,74,280,Республика Карелия,2,"264331,2102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Лестница 3550.17.03.250-02 ,2020-05-15 00:00:00,2020-03-30 00:00:00,46,45,Республика Карелия,1,"26751,59236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Вал 3536.11.01.002,2020-10-25 00:00:00,2020-04-01 00:00:00,207,280,Мурманская область,4,"264331,2102",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Колесо 1080.33.58,2020-08-15 00:00:00,2020-04-03 00:00:00,134,110,Вологодская область,4,"53949,04459",,,3989
Рама лобовая АВМЮ.301222.054 ,2020-06-10 00:00:00,2020-04-03 00:00:00,68,50,Республика Карелия,2,"91601,91083",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Коромысло 3537.25.00.500 ,2020-07-15 00:00:00,2020-04-04 00:00:00,102,120,Мурманская область,1,"474956,6879",,,3961
Палец 01.3712-УР20КМ,2020-05-25 00:00:00,2020-04-04 00:00:00,51,45,Республика Карелия,50,"2675,159236",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Палец 00.3712-УР20КМ,2020-05-25 00:00:00,2020-04-04 00:00:00,51,45,Республика Карелия,30,"3407,643312",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Рейка 11075.04.151,2020-09-05 00:00:00,2020-04-06 00:00:00,152,370,Республика Карелия,2,"808917,1975",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Палец 3550.05.13.003 ,2020-06-20 00:00:00,2020-04-06 00:00:00,75,70,Республика Карелия,30,"3407,643312",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Стенка передн. 3537.01.01.020 ,2020-08-10 00:00:00,2020-04-08 00:00:00,124,300,Республика Карелия,1,"987261,1465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100 % в течение 20 дней с даты перехода права собственности (ППС)  ДЕНЬГИ 100% ,,3927
Засов 11075.02.152,2020-05-01 00:00:00,2020-04-10 00:00:00,21,45,Республика Карелия,1,"29617,83439",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Коромысло 3711.21.00.200,2020-11-02 00:00:00,2020-04-15 00:00:00,201,180,Республика Карелия,1,"444218,4713",,,3961
Кольцо 3601.03.12.055 ,2020-09-05 00:00:00,2020-04-15 00:00:00,143,145,Мурманская область,4,"1582,165605",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Стенка передн. 3711.33.01.200 ,2020-08-10 00:00:00,2020-04-15 00:00:00,117,320,Республика Карелия,1,"2383228,662",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,1,4011
Пружина 3537.09.09.013 ,2020-08-05 00:00:00,2020-04-15 00:00:00,112,60,Республика Карелия,1,"3219,10828",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
Пружина 3588.09.06.006 ,2020-06-20 00:00:00,2020-04-15 00:00:00,66,90,Республика Карелия,1,"3949,044586",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Втулка шлицевая 3550.05.02.015-01 ,2020-06-12 00:00:00,2020-04-15 00:00:00,58,70,Республика Карелия,2,"57324,84076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
Втулка 3546.03.01.008Р ,2020-05-30 00:00:00,2020-04-15 00:00:00,45,175,Республика Карелия,2,"80573,24841",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Лестница подъемная 3537.17.00.200-02СБ Э,2020-05-20 00:00:00,2020-04-15 00:00:00,35,45,Республика Карелия,1,"26942,67516",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Лестница 3537.17.00.250-02СБ ,2020-05-20 00:00:00,2020-04-15 00:00:00,35,45,Республика Карелия,1,"15700,63694",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Засов 11075.02.152,2020-04-30 00:00:00,2020-04-15 00:00:00,15,45,Республика Карелия,1,"29617,83439",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Засов 11075.02.152,2020-04-30 00:00:00,2020-04-15 00:00:00,15,45,Республика Карелия,1,"29617,83439",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
П/цил.3551.17.00.300-02,2020-04-30 00:00:00,2020-04-16 00:00:00,14,150,Мурманская область,2,"45541,40127",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,1,4012
Ячейка ЯВВ-6-250-03,2020-11-10 00:00:00,2020-04-27 00:00:00,197,260,Республика Карелия,2,"634394,9045",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 10 дней с даты ППС ДЕНЬГИ 100%,,2882
Колесо 3572.05.10.302,2020-11-02 00:00:00,2020-04-29 00:00:00,187,320,Мурманская область,3,"57961,78344",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Ось 3519.21.00.025,2020-07-10 00:00:00,2020-04-29 00:00:00,72,180,Мурманская область,4,"9299,363057",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
Колесо 3519.05.02.006,2020-06-20 00:00:00,2020-04-29 00:00:00,52,220,Республика Карелия,1,"372611,465",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Шкив 3536.58.00.140,2020-12-10 00:00:00,2020-05-06 00:00:00,218,330,Мурманская область,2,"22528,66242",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3915
Шестерня 1080.05.372-1 ,2020-09-20 00:00:00,2020-05-06 00:00:00,137,130,Вологодская область,1,"8235,66879",,1,3989
Цепь гусенич. 11078.34.001-1-100Г-СБ ,2020-05-30 00:00:00,2020-05-07 00:00:00,23,80,Республика Карелия,1,"7547770,701",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3838
Цепь гусенич. 11078.34.001-1-100Г-СБ ,2020-05-15 00:00:00,2020-05-07 00:00:00,8,80,Республика Карелия,1,"7547770,701",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3838
Ячейка ЯВВ-6-250-03,2020-11-10 00:00:00,2020-05-08 00:00:00,186,260,Республика Карелия,2,"780509,5541",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 10 дней с даты ППС ДЕНЬГИ 100%,,2882
Ось 3519.21.00.025,2020-09-14 00:00:00,2020-05-08 00:00:00,129,180,Республика Карелия,6,"9299,363057",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
Колесо 3572.05.10.302,2020-10-25 00:00:00,2020-05-12 00:00:00,166,320,Мурманская область,3,"57961,78344",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,4012
Колесо зубчатое 3537.67.01.033 ,2020-10-20 00:00:00,2020-05-12 00:00:00,161,150,Республика Карелия,1,"846490,4459",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,3915
Ось 3519.21.00.025,2020-09-05 00:00:00,2020-05-12 00:00:00,116,180,Республика Карелия,6,"9299,363057",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,4014
Вал-шестерня 3537.67.01.023 ,2020-08-05 00:00:00,2020-05-12 00:00:00,85,90,Республика Карелия,2,"429936,3057",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
